appliance,category,subcategory,household,dwelling,tenure,purpose,mode,fuel,units 1,units 2,units 3,units 4
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-mid-solid-5,*,water-heating,*,water-heating-gas,1183,1183,1183,1183
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-mid-solid-6+,*,water-heating,*,water-heating-gas,1183,1183,1183,1183
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-end-cavity-1,*,water-heating,*,water-heating-gas,1177,1177,1177,1177
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-end-cavity-2,*,water-heating,*,water-heating-gas,1177,1177,1177,1177
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-end-cavity-3,*,water-heating,*,water-heating-gas,1177,1177,1177,1177
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-end-cavity-4,*,water-heating,*,water-heating-gas,1177,1177,1177,1177
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-end-cavity-5,*,water-heating,*,water-heating-gas,1177,1177,1177,1177
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-end-cavity-6+,*,water-heating,*,water-heating-gas,1177,1177,1177,1177
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-end-solid-1,*,water-heating,*,water-heating-gas,1177,1177,1177,1177
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-end-solid-2,*,water-heating,*,water-heating-gas,1177,1177,1177,1177
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-end-solid-3,*,water-heating,*,water-heating-gas,1177,1177,1177,1177
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-end-solid-4,*,water-heating,*,water-heating-gas,1177,1177,1177,1177
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-end-solid-5,*,water-heating,*,water-heating-gas,1177,1177,1177,1177
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-end-solid-6+,*,water-heating,*,water-heating-gas,1177,1177,1177,1177
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-top-cavity-1,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-top-cavity-2,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-top-cavity-3,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-top-cavity-4,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-top-cavity-5,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-top-cavity-6+,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
